gender,age,stream,college_name,placement_status,salary,gpa,years_of_experience
Male,23,Computer Science,University of Washington,Placed,67000,3.8,3.0
Female,26,Electronics and Communication,University of California--Berkeley,Placed,66000,3.9,3.0
Male,24,Computer Science,University of Illinois--Urbana-Champaign,Placed,65000,3.8,3.0
Female,23,Electrical Engineering,University of Colorado--Boulder,Placed,66000,3.7,2.0
Male,26,Information Technology,University of North Carolina--Chapel Hill,Not Placed,0,3.6,1.0
Female,24,Mechanical Engineering,University of Maryland--College Park,Placed,63000,3.7,2.0
Male,23,Computer Science,University of Rochester,Placed,62000,3.8,3.0
Female,26,Electrical Engineering,University of California--Santa Cruz,Placed,60000,3.7,2.0
Female,24,Information Technology,University of Connecticut,Placed,61000,3.5,1.0
Male,25,Computer Science,University of California--Riverside,Not Placed,0,3.9,2.0
Female,23,Electronics and Communication,University of Delaware,Placed,65000,3.7,1.0
Male,26,Information Technology,University of California--San Francisco,Placed,66000,3.8,3.0
Female,24,Mechanical Engineering,University of Texas--Dallas,Placed,63000,3.6,1.0
Male,23,Computer Science,University of Michigan--Ann Arbor,Placed,64000,3.9,2.0
Female,26,Electronics and Communication,University of Virginia,Placed,67000,3.9,3.0
Male,24,Computer Science,University of California--Los Angeles,Placed,67000,3.8,3.0
Female,23,Electrical Engineering,University of California--Berkeley,Placed,66000,3.7,2.0
Male,26,Information Technology,University of Illinois--Urbana-Champaign,Placed,65000,3.8,3.0
Female,24,Mechanical Engineering,University of Colorado--Boulder,Placed,66000,3.7,2.0
Male,23,Computer Science,University of North Carolina--Chapel Hill,Not Placed,0,3.6,1.0
Female,26,Electrical Engineering,University of Maryland--College Park,Placed,63000,3.7,2.0
Female,24,Information Technology,University of Rochester,Placed,62000,3.8,3.0
Male,25,Computer Science,University of California--Santa Cruz,Placed,60000,3.7,2.0
Female,23,Electronics and Communication,University of Connecticut,Placed,61000,3.5,1.0
Male,26,Information Technology,University of California--Riverside,Not Placed,0,3.9,2.0
Female,24,Mechanical Engineering,University of Delaware,Placed,65000,3.7,1.0
Male,23,Computer Science,University of California--San Francisco,Placed,66000,3.8,3.0
Female,26,Electronics and Communication,University of Texas--Dallas,Placed,63000,3.6,1.0
Male,24,Computer Science,University of Virginia,Placed,64000,3.9,2.0
Female,23,Electrical Engineering,University of Michigan--Ann Arbor,Placed,67000,3.9,3.0
Male,26,Information Technology,University of Pennsylvania,Not Placed,0,3.7,2.0
Female,24,Mechanical Engineering,University of Washington,Placed,67000,3.8,3.0
Male,23,Computer Science,University of California--Berkeley,Placed,66000,3.9,3.0
Female,26,Electrical Engineering,University of Illinois--Urbana-Champaign,Placed,65000,3.8,3.0
Female,24,Information Technology,University of Colorado--Boulder,Placed,66000,3.7,2.0
Male,25,Computer Science,University of North Carolina--Chapel Hill,Not Placed,0,3.6,1.0
Female,23,Electronics and Communication,University of Maryland--College Park,Placed,63000,3.7,2.0
Male,26,Information Technology,University of Rochester,Placed,62000,3.8,3.0
Female,24,Mechanical Engineering,University of California--Santa Cruz,Placed,60000,3.7,2.0
Male,23,Computer Science,University of Connecticut,Placed,61000,3.5,1.0
Female,26,Electrical Engineering,University of California--Riverside,Not Placed,0,3.9,2.0
Male,24,Computer Science,University of Delaware,Placed,65000,3.7,1.0
Female,23,Electronics and Communication,University of California--San Francisco,Placed,66000,3.8,3.0
Male,26,Information Technology,University of Texas--Dallas,Placed,63000,3.6,1.0
Female,24,Mechanical Engineering,University of Virginia,Placed,64000,3.9,2.0
Male,23,Computer Science,University of Michigan--Ann Arbor,Placed,67000,3.9,3.0
Female,26,Electrical Engineering,University of Pennsylvania,Not Placed,0,3.7,2.0
Female,24,Information Technology,University of Washington,Placed,67000,3.8,3.0
Male,25,Computer Science,University of California--Berkeley,Placed,66000,3.9,3.0
Female,23,Electronics and Communication,University of Illinois--Urbana-Champaign,Placed,65000,3.8,3.0
Male,26,Information Technology,University of Colorado--Boulder,Placed,66000,3.7,2.0
Female,24,Mechanical Engineering,University of North Carolina--Chapel Hill,Not Placed,0,3.6,1.0
Male,23,Computer Science,University of Maryland--College Park,Placed,63000,3.7,2.0
Female,26,Electronics and Communication,University of Rochester,Placed,62000,3.8,3.0
Male,24,Computer Science,University of California--Santa Cruz,Placed,60000,3.7,2.0
Female,23,Electrical Engineering,University of Connecticut,Placed,61000,3.5,1.0
Male,26,Information Technology,University of California--Riverside,Not Placed,0,3.9,2.0
Female,24,Mechanical Engineering,University of Delaware,Placed,65000,3.7,1.0
Male,23,Computer Science,University of California--San Francisco,Placed,66000,3.8,3.0
Female,26,Electrical Engineering,University of Texas--Dallas,Placed,63000,3.6,1.0
Female,24,Information Technology,University of Virginia,Placed,64000,3.9,2.0
Male,25,Computer Science,University of Michigan--Ann Arbor,Placed,67000,3.9,3.0
Female,23,Electronics and Communication,University of Pennsylvania,Not Placed,0,3.7,2.0
Male,26,Information Technology,University of Washington,Placed,67000,3.8,3.0
Female,24,Mechanical Engineering,University of California--Berkeley,Placed,66000,3.9,3.0
Male,23,Computer Science,University of Illinois--Urbana-Champaign,Placed,65000,3.8,3.0
Female,26,Electronics and Communication,University of Colorado--Boulder,Placed,66000,3.7,2.0
Male,24,Computer Science,University of North Carolina--Chapel Hill,Not Placed,0,3.6,1.0
Female,23,Electrical Engineering,University of Maryland--College Park,Placed,63000,3.7,2.0
Male,26,Information Technology,University of Rochester,Placed,62000,3.8,3.0
Female,24,Mechanical Engineering,University of California--Santa Cruz,Placed,60000,3.7,2.0
Male,23,Computer Science,University of Connecticut,Placed,61000,3.5,1.0
Female,26,Electrical Engineering,University of California--Riverside,Not Placed,0,3.9,2.0
Female,24,Information Technology,University of Delaware,Placed,65000,3.7,1.0
Male,25,Computer Science,University of California--San Francisco,Placed,66000,3.8,3.0
Female,23,Electronics and Communication,University of Texas--Dallas,Placed,63000,3.6,1.0
Male,26,Information Technology,University of Virginia,Placed,64000,3.9,2.0
Female,24,Mechanical Engineering,University of Michigan--Ann Arbor,Placed,67000,3.9,3.0
Male,23,Computer Science,University of Pennsylvania,Not Placed,0,3.7,2.0
Female,26,Electronics and Communication,University of Washington,Placed,67000,3.8,3.0
Male,24,Computer Science,University of California--Berkeley,Placed,66000,3.9,3.0
Female,23,Electrical Engineering,University of Illinois--Urbana-Champaign,Placed,65000,3.8,3.0
Male,26,Information Technology,University of Colorado--Boulder,Placed,66000,3.7,2.0
Female,24,Mechanical Engineering,University of North Carolina--Chapel Hill,Not Placed,0,3.6,1.0
Male,23,Computer Science,University of Maryland--College Park,Placed,63000,3.7,2.0
Female,26,Electrical Engineering,University of Rochester,Placed,62000,3.8,3.0
Female,24,Information Technology,University of California--Santa Cruz,Placed,60000,3.7,2.0
Male,25,Computer Science,University of Connecticut,Placed,61000,3.5,1.0
Female,23,Electronics and Communication,University of California--Riverside,Not Placed,0,3.9,2.0
Male,26,Information Technology,University of Delaware,Placed,65000,3.7,1.0
Female,24,Mechanical Engineering,University of California--San Francisco,Placed,66000,3.8,3.0
Male,23,Computer Science,University of Texas--Dallas,Placed,63000,3.6,1.0
Female,26,Electronics and Communication,University of Virginia,Placed,64000,3.9,2.0
Male,24,Computer Science,University of Michigan--Ann Arbor,Placed,67000,3.9,3.0
Female,23,Electrical Engineering,University of Pennsylvania,Not Placed,0,3.7,2.0
Male,26,Information Technology,University of Washington,Placed,67000,3.8,3.0
Female,24,Mechanical Engineering,University of California--Berkeley,Placed,66000,3.9,3.0
Male,23,Computer Science,University of Illinois--Urbana-Champaign,Placed,65000,3.8,3.0
Female,26,Electrical Engineering,University of Colorado--Boulder,Placed,66000,3.7,2.0
Female,24,Information Technology,University of North Carolina--Chapel Hill,Not Placed,0,3.6,1.0
Male,25,Computer Science,University of Maryland--College Park,Placed,63000,3.7,2.0
Female,23,Electronics and Communication,University of Rochester,Placed,62000,3.8,3.0
Male,26,Information Technology,University of California--Santa Cruz,Placed,60000,3.7,2.0
Female,24,Mechanical Engineering,University of Connecticut,Placed,61000,3.5,1.0
Male,23,Computer Science,University of California--Riverside,Not Placed,0,3.9,2.0
Female,26,Electronics and Communication,University of Delaware,Placed,65000,3.7,1.0
Male,24,Computer Science,University of California--San Francisco,Placed,66000,3.8,3.0
Female,23,Electrical Engineering,University of Texas--Dallas,Placed,63000,3.6,1.0
Male,26,Information Technology,University of Virginia,Placed,64000,3.9,2.0
Female,24,Mechanical Engineering,University of Michigan--Ann Arbor,Placed,67000,3.9,3.0
Male,23,Computer Science,University of Pennsylvania,Not Placed,0,3.7,2.0
Female,26,Electrical Engineering,University of Washington,Placed,67000,3.8,3.0
Female,24,Information Technology,University of California--Berkeley,Placed,66000,3.9,3.0
Male,25,Computer Science,University of Illinois--Urbana-Champaign,Placed,65000,3.8,3.0
Female,23,Electronics and Communication,University of Colorado--Boulder,Placed,66000,3.7,2.0
Male,26,Information Technology,University of North Carolina--Chapel Hill,Not Placed,0,3.6,1.0
Female,24,Mechanical Engineering,University of Maryland--College Park,Placed,63000,3.7,2.0
Male,23,Computer Science,University of Rochester,Placed,62000,3.8,3.0
Female,26,Electronics and Communication,University of California--Santa Cruz,Placed,60000,3.7,2.0
Male,24,Computer Science,University of Connecticut,Placed,61000,3.5,1.0
Female,23,Electrical Engineering,University of California--Riverside,Not Placed,0,3.9,2.0
Male,26,Information Technology,University of Delaware,Placed,65000,3.7,1.0
Female,24,Mechanical Engineering,University of California--San Francisco,Placed,66000,3.8,3.0
Male,23,Computer Science,University of Texas--Dallas,Placed,63000,3.6,1.0
Female,26,Electrical Engineering,University of Virginia,Placed,64000,3.9,2.0
Female,24,Information Technology,University of Michigan--Ann Arbor,Placed,67000,3.9,3.0
Male,25,Computer Science,University of Pennsylvania,Not Placed,0,3.7,2.0
Female,23,Electronics and Communication,University of Washington,Placed,67000,3.8,3.0
Male,26,Information Technology,University of California--Berkeley,Placed,66000,3.9,3.0
Female,24,Mechanical Engineering,University of Illinois--Urbana-Champaign,Placed,65000,3.8,3.0
Male,23,Computer Science,University of Colorado--Boulder,Placed,66000,3.7,2.0
Female,26,Electronics and Communication,University of North Carolina--Chapel Hill,Not Placed,0,3.6,1.0
Male,24,Computer Science,University of Maryland--College Park,Placed,63000,3.7,2.0
Female,23,Electrical Engineering,University of Rochester,Placed,62000,3.8,3.0
Male,26,Information Technology,University of California--Santa Cruz,Placed,60000,3.7,2.0
Female,24,Mechanical Engineering,University of Connecticut,Placed,61000,3.5,1.0
Male,23,Computer Science,University of California--Riverside,Not Placed,0,3.9,2.0
Female,26,Electrical Engineering,University of Delaware,Placed,65000,3.7,1.0
Female,24,Information Technology,University of California--San Francisco,Placed,66000,3.8,3.0
Male,25,Computer Science,University of Texas--Dallas,Placed,63000,3.6,1.0
Female,23,Electronics and Communication,University of Virginia,Placed,64000,3.9,2.0
Male,26,Information Technology,University of Michigan--Ann Arbor,Placed,67000,3.9,3.0
Female,24,Mechanical Engineering,University of Pennsylvania,Not Placed,0,3.7,2.0
Male,23,Computer Science,University of Washington,Placed,67000,3.8,3.0
Female,26,Electronics and Communication,University of California--Berkeley,Placed,66000,3.9,3.0
Male,24,Computer Science,University of Illinois--Urbana-Champaign,Placed,65000,3.8,3.0
Female,23,Electrical Engineering,University of Colorado--Boulder,Placed,66000,3.7,2.0
Male,26,Information Technology,University of North Carolina--Chapel Hill,Not Placed,0,3.6,1.0
Female,24,Mechanical Engineering,University of Maryland--College Park,Placed,63000,3.7,2.0
Male,23,Computer Science,University of Rochester,Placed,62000,3.8,3.0
Female,26,Electrical Engineering,University of California--Santa Cruz,Placed,60000,3.7,2.0
Female,24,Information Technology,University of Connecticut,Placed,61000,3.5,1.0
Male,25,Computer Science,University of California--Riverside,Not Placed,0,3.9,2.0
Female,23,Electronics and Communication,University of Delaware,Placed,65000,3.7,1.0
Male,26,Information Technology,University of California--San Francisco,Placed,66000,3.8,3.0
Female,24,Mechanical Engineering,University of Texas--Dallas,Placed,63000,3.6,1.0
Male,23,Computer Science,University of Michigan--Ann Arbor,Placed,64000,3.9,2.0
Female,26,Electronics and Communication,University of Virginia,Placed,67000,3.9,3.0
Male,24,Computer Science,University of California--Los Angeles,Placed,67000,3.8,3.0
Female,23,Electrical Engineering,University of California--Berkeley,Placed,66000,3.7,2.0
Male,26,Information Technology,University of Illinois--Urbana-Champaign,Placed,65000,3.8,3.0
Female,24,Mechanical Engineering,University of Colorado--Boulder,Placed,66000,3.7,2.0
Male,23,Computer Science,University of North Carolina--Chapel Hill,Not Placed,0,3.6,1.0
Female,26,Electrical Engineering,University of Maryland--College Park,Placed,63000,3.7,2.0
Female,24,Information Technology,University of Rochester,Placed,62000,3.8,3.0
Male,25,Computer Science,University of California--Santa Cruz,Placed,60000,3.7,2.0
Female,23,Electronics and Communication,University of Connecticut,Placed,61000,3.5,1.0
Male,26,Information Technology,University of California--Riverside,Not Placed,0,3.9,2.0
Female,24,Mechanical Engineering,University of Delaware,Placed,65000,3.7,1.0
Male,23,Computer Science,University of California--San Francisco,Placed,66000,3.8,3.0
Female,26,Electronics and Communication,University of Texas--Dallas,Placed,63000,3.6,1.0
Male,24,Computer Science,University of Virginia,Placed,64000,3.9,2.0
Female,23,Electrical Engineering,University of Michigan--Ann Arbor,Placed,67000,3.9,3.0
Male,26,Information Technology,University of Pennsylvania,Not Placed,0,3.7,2.0
Female,24,Mechanical Engineering,University of Washington,Placed,67000,3.8,3.0
Male,23,Computer Science,University of California--Berkeley,Placed,66000,3.9,3.0
Female,26,Electrical Engineering,University of Illinois--Urbana-Champaign,Placed,65000,3.8,3.0
Female,24,Information Technology,University of Colorado--Boulder,Placed,66000,3.7,2.0
Male,25,Computer Science,University of North Carolina--Chapel Hill,Not Placed,0,3.6,1.0
Female,23,Electronics and Communication,University of Maryland--College Park,Placed,63000,3.7,2.0
Male,26,Information Technology,University of Rochester,Placed,62000,3.8,3.0
Female,24,Mechanical Engineering,University of California--Santa Cruz,Placed,60000,3.7,
Male,23,Computer Science,University of California--Riverside,Not Placed,0,3.9,2.0
Female,26,Electronics and Communication,University of Delaware,Placed,65000,3.7,1.0
Male,24,Computer Science,University of California--San Francisco,Placed,66000,3.8,3.0
Female,23,Electrical Engineering,University of Texas--Dallas,Placed,63000,3.6,1.0
Male,26,Information Technology,University of Virginia,Placed,64000,3.9,2.0
Female,24,Mechanical Engineering,University of Michigan--Ann Arbor,Placed,67000,3.9,3.0
Male,23,Computer Science,University of Pennsylvania,Not Placed,0,3.7,2.0
Female,26,Electrical Engineering,University of Washington,Placed,67000,3.8,3.0
Female,24,Information Technology,University of California--Berkeley,Placed,66000,3.9,3.0
Male,25,Computer Science,University of Illinois--Urbana-Champaign,Placed,65000,3.8,3.0
Female,23,Electronics and Communication,University of Colorado--Boulder,Placed,66000,3.7,2.0
Male,26,Information Technology,University of North Carolina--Chapel Hill,Not Placed,0,3.6,1.0
Female,24,Mechanical Engineering,University of Maryland--College Park,Placed,63000,3.7,2.0
Male,23,Computer Science,University of Rochester,Placed,62000,3.8,3.0
Female,26,Electronics and Communication,University of California--Santa Cruz,Placed,60000,3.7,2.0
Male,24,Computer Science,University of Connecticut,Placed,61000,3.5,1.0
Female,23,Electrical Engineering,University of California--Riverside,Not Placed,0,3.9,2.0
Male,26,Information Technology,University of Delaware,Placed,65000,3.7,1.0
Female,24,Mechanical Engineering,University of California--San Francisco,Placed,66000,3.8,3.0
Male,23,Computer Science,University of Texas--Dallas,Placed,63000,3.6,1.0
Female,26,Electrical Engineering,University of Virginia,Placed,64000,3.9,2.0
Female,24,Information Technology,University of Michigan--Ann Arbor,Placed,67000,3.9,3.0
Male,25,Computer Science,University of Pennsylvania,Not Placed,0,3.7,2.0
Female,23,Electronics and Communication,University of Washington,Placed,67000,3.8,3.0
Male,26,Information Technology,University of California--Berkeley,Placed,66000,3.9,3.0
Female,24,Mechanical Engineering,University of Illinois--Urbana-Champaign,Placed,65000,3.8,3.0
Male,23,Computer Science,University of Colorado--Boulder,Placed,66000,3.7,2.0
Female,26,Electronics and Communication,University of North Carolina--Chapel Hill,Not Placed,0,3.6,1.0
Male,24,Computer Science,University of Maryland--College Park,Placed,63000,3.7,2.0
Female,23,Electrical Engineering,University of Rochester,Placed,62000,3.8,3.0
Male,26,Information Technology,University of California--Santa Cruz,Placed,60000,3.7,2.0
Female,24,Mechanical Engineering,University of Connecticut,Placed,61000,3.5,1.0
Male,23,Computer Science,University of California--Riverside,Not Placed,0,3.9,2.0
Female,26,Electrical Engineering,University of Delaware,Placed,65000,3.7,1.0
Female,24,Information Technology,University of California--San Francisco,Placed,66000,3.8,3.0
Male,25,Computer Science,University of Texas--Dallas,Placed,63000,3.6,1.0
Female,23,Electronics and Communication,University of Virginia,Placed,64000,3.9,2.0
Male,26,Information Technology,University of Michigan--Ann Arbor,Placed,67000,3.9,3.0
Female,24,Mechanical Engineering,University of Pennsylvania,Not Placed,0,3.7,2.0
Male,23,Computer Science,University of Washington,Placed,67000,3.8,3.0
Female,26,Electronics and Communication,University of California--Berkeley,Placed,66000,3.9,3.0
Male,24,Computer Science,University of Illinois--Urbana-Champaign,Placed,65000,3.8,3.0
Female,23,Electrical Engineering,University of Colorado--Boulder,Placed,66000,3.7,2.0
Male,26,Information Technology,University of North Carolina--Chapel Hill,Not Placed,0,3.6,1.0
Female,24,Mechanical Engineering,University of Maryland--College Park,Placed,63000,3.7,2.0
Male,23,Computer Science,University of Rochester,Placed,62000,3.8,3.0
Female,26,Electrical Engineering,University of California--Santa Cruz,Placed,60000,3.7,2.0
Female,24,Information Technology,University of Connecticut,Placed,61000,3.5,1.0
Male,25,Computer Science,University of California--Riverside,Not Placed,0,3.9,2.0
Female,23,Electronics and Communication,University of Delaware,Placed,65000,3.7,1.0
Male,26,Information Technology,University of California--San Francisco,Placed,66000,3.8,3.0
Female,24,Mechanical Engineering,University of Texas--Dallas,Placed,63000,3.6,1.0
Male,23,Computer Science,University of Michigan--Ann Arbor,Placed,64000,3.9,2.0
Female,26,Electronics and Communication,University of Virginia,Placed,67000,3.9,3.0
Male,24,Computer Science,University of California--Los Angeles,Placed,67000,3.8,3.0
Female,23,Electrical Engineering,University of California--Berkeley,Placed,66000,3.7,2.0
Male,26,Information Technology,University of Illinois--Urbana-Champaign,Placed,65000,3.8,3.0
Female,24,Mechanical Engineering,University of Colorado--Boulder,Placed,66000,3.7,2.0
Male,23,Computer Science,University of North Carolina--Chapel Hill,Not Placed,0,3.6,1.0
Female,26,Electrical Engineering,University of Maryland--College Park,Placed,63000,3.7,2.0
Female,24,Information Technology,University of Rochester,Placed,62000,3.8,3.0
Male,25,Computer Science,University of California--Santa Cruz,Placed,60000,3.7,2.0
Female,23,Electronics and Communication,University of Connecticut,Placed,61000,3.5,1.0
Male,26,Information Technology,University of California--Riverside,Not Placed,0,3.9,2.0
Female,24,Mechanical Engineering,University of Delaware,Placed,65000,3.7,1.0
Male,23,Computer Science,University of California--San Francisco,Placed,66000,3.8,3.0
Female,26,Electronics and Communication,University of Texas--Dallas,Placed,63000,3.6,1.0
Male,24,Computer Science,University of Virginia,Placed,64000,3.9,2.0
Female,23,Electrical Engineering,University of Michigan--Ann Arbor,Placed,67000,3.9,3.0
Male,26,Information Technology,University of Pennsylvania,Not Placed,0,3.7,2.0
Female,24,Mechanical Engineering,University of Washington,Placed,67000,3.8,3.0
Male,23,Computer Science,University of California--Berkeley,Placed,66000,3.9,3.0
Female,26,Electrical Engineering,University of Illinois--Urbana-Champaign,Placed,65000,3.8,3.0
Female,26,Electronics and Communication,University of Colorado--Boulder,Placed,66000,3.7,2.0
Male,24,Computer Science,University of North Carolina--Chapel Hill,Not Placed,0,3.6,1.0
Female,23,Electrical Engineering,University of Maryland--College Park,Placed,63000,3.7,2.0
Male,26,Information Technology,University of Rochester,Placed,62000,3.8,3.0
Female,24,Mechanical Engineering,University of California--Santa Cruz,Placed,60000,3.7,2.0
Male,23,Computer Science,University of Connecticut,Placed,61000,3.5,1.0
Female,26,Electrical Engineering,University of California--Riverside,Not Placed,0,3.9,2.0
Female,24,Information Technology,University of Delaware,Placed,65000,3.7,1.0
Male,25,Computer Science,University of California--San Francisco,Placed,66000,3.8,3.0
Female,23,Electronics and Communication,University of Texas--Dallas,Placed,63000,3.6,1.0
Male,26,Information Technology,University of Virginia,Placed,64000,3.9,2.0
Female,24,Mechanical Engineering,University of Michigan--Ann Arbor,Placed,67000,3.9,3.0
Male,23,Computer Science,University of Pennsylvania,Not Placed,0,3.7,2.0
Female,26,Electronics and Communication,University of Washington,Placed,67000,3.8,3.0
Male,24,Computer Science,University of California--Berkeley,Placed,66000,3.9,3.0
Female,23,Electrical Engineering,University of Illinois--Urbana-Champaign,Placed,65000,3.8,3.0
Male,26,Information Technology,University of Colorado--Boulder,Placed,66000,3.7,2.0
Female,24,Mechanical Engineering,University of North Carolina--Chapel Hill,Not Placed,0,3.6,1.0
Male,23,Computer Science,University of Maryland--College Park,Placed,63000,3.7,2.0
Female,26,Electrical Engineering,University of Rochester,Placed,62000,3.8,3.0
Female,24,Information Technology,University of California--Santa Cruz,Placed,60000,3.7,2.0
Male,25,Computer Science,University of Connecticut,Placed,61000,3.5,1.0
Female,23,Electronics and Communication,University of California--Riverside,Not Placed,0,3.9,2.0
Male,26,Information Technology,University of Delaware,Placed,65000,3.7,1.0
Female,24,Mechanical Engineering,University of California--San Francisco,Placed,66000,3.8,3.0
Male,23,Computer Science,University of Texas--Dallas,Placed,63000,3.6,1.0
Female,26,Electronics and Communication,University of Virginia,Placed,64000,3.9,2.0
Male,24,Computer Science,University of Michigan--Ann Arbor,Placed,67000,3.9,3.0
Female,23,Electrical Engineering,University of Pennsylvania,Not Placed,0,3.7,2.0
Male,26,Information Technology,University of Washington,Placed,67000,3.8,3.0
Female,24,Mechanical Engineering,University of California--Berkeley,Placed,66000,3.9,3.0
Male,23,Computer Science,University of Illinois--Urbana-Champaign,Placed,65000,3.8,3.0
Female,26,Electrical Engineering,University of Colorado--Boulder,Placed,66000,3.7,2.0
Female,24,Information Technology,University of North Carolina--Chapel Hill,Not Placed,0,3.6,1.0
Male,25,Computer Science,University of Maryland--College Park,Placed,63000,3.7,2.0
Female,23,Electronics and Communication,University of Rochester,Placed,62000,3.8,3.0
Male,26,Information Technology,University of California--Santa Cruz,Placed,60000,3.7,2.0
Female,24,Mechanical Engineering,University of Connecticut,Placed,61000,3.5,1.0
Male,23,Computer Science,University of California--Riverside,Not Placed,0,3.9,2.0
Female,26,Electronics and Communication,University of Delaware,Placed,65000,3.7,1.0
Male,24,Computer Science,University of California--San Francisco,Placed,66000,3.8,3.0
Female,23,Electrical Engineering,University of Texas--Dallas,Placed,63000,3.6,1.0
Male,26,Information Technology,University of Virginia,Placed,64000,3.9,2.0
Female,24,Mechanical Engineering,University of Michigan--Ann Arbor,Placed,67000,3.9,3.0
Male,23,Computer Science,University of Pennsylvania,Not Placed,0,3.7,2.0
Female,26,Electrical Engineering,University of Washington,Placed,67000,3.8,3.0
Female,24,Information Technology,University of California--Berkeley,Placed,66000,3.9,3.0
Male,25,Computer Science,University of Illinois--Urbana-Champaign,Placed,65000,3.8,3.0
Female,23,Electronics and Communication,University of Colorado--Boulder,Placed,66000,3.7,2.0
Male,26,Information Technology,University of North Carolina--Chapel Hill,Not Placed,0,3.6,1.0
Female,24,Mechanical Engineering,University of Maryland--College Park,Placed,63000,3.7,2.0
Male,23,Computer Science,University of Rochester,Placed,62000,3.8,3.0
Female,26,Electronics and Communication,University of California--Santa Cruz,Placed,60000,3.7,2.0
Male,24,Computer Science,University of Connecticut,Placed,61000,3.5,1.0
Female,23,Electrical Engineering,University of California--Riverside,Not Placed,0,3.9,2.0
Male,26,Information Technology,University of Delaware,Placed,65000,3.7,1.0
Female,24,Mechanical Engineering,University of California--San Francisco,Placed,66000,3.8,3.0
Male,23,Computer Science,University of Texas--Dallas,Placed,63000,3.6,1.0
Female,26,Electrical Engineering,University of Virginia,Placed,64000,3.9,2.0
Female,24,Information Technology,University of Michigan--Ann Arbor,Placed,67000,3.9,3.0
Male,25,Computer Science,University of Pennsylvania,Not Placed,0,3.7,2.0
Female,23,Electronics and Communication,University of Washington,Placed,67000,3.8,3.0
Male,26,Information Technology,University of California--Berkeley,Placed,66000,3.9,3.0
Female,24,Mechanical Engineering,University of Illinois--Urbana-Champaign,Placed,65000,3.8,3.0
Male,23,Computer Science,University of Colorado--Boulder,Placed,66000,3.7,2.0
Female,26,Electronics and Communication,University of North Carolina--Chapel Hill,Not Placed,0,3.6,1.0
Male,24,Computer Science,University of Maryland--College Park,Placed,63000,3.7,2.0
Female,23,Electrical Engineering,University of Rochester,Placed,62000,3.8,3.0
Male,26,Information Technology,University of California--Santa Cruz,Placed,60000,3.7,2.0
Female,24,Mechanical Engineering,University of Connecticut,Placed,61000,3.5,1.0
Male,23,Computer Science,University of California--Riverside,Not Placed,0,3.9,2.0
Female,26,Electrical Engineering,University of Delaware,Placed,65000,3.7,1.0
Female,24,Information Technology,University of California--San Francisco,Placed,66000,3.8,3.0
Male,25,Computer Science,University of Texas--Dallas,Placed,63000,3.6,1.0
Female,23,Electronics and Communication,University of Virginia,Placed,64000,3.9,2.0
Male,26,Information Technology,University of Michigan--Ann Arbor,Placed,67000,3.9,3.0
Female,24,Mechanical Engineering,University of Pennsylvania,Not Placed,0,3.7,2.0
Male,23,Computer Science,University of Washington,Placed,67000,3.8,3.0
Female,26,Electronics and Communication,University of California--Berkeley,Placed,66000,3.9,3.0
Male,24,Computer Science,University of Illinois--Urbana-Champaign,Placed,65000,3.8,3.0
Female,23,Electrical Engineering,University of Colorado--Boulder,Placed,66000,3.7,2.0
Male,26,Information Technology,University of North Carolina--Chapel Hill,Not Placed,0,3.6,1.0
